BRAND;CATEGORY;RMC;DETAIL;SIZE;DIAL;BRACELET;FAMILY;PRICE
ROLEX;SAAT;128348RBR-0030;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83408 - PRESIDENT;DAY-DATE ;€ 88.400
ROLEX;SAAT;128348RBR-0027;;36;CHAMPAGNE-COLOUR;84808BR - PRESIDENT BR;DAY-DATE ;€ 112.600
ROLEX;SAAT;128348RBR-0048;;36;WHITE;84808BR - PRESIDENT BR;DAY-DATE ;€ 112.600
ROLEX;SAAT;128348RBR-0065;;36;WHITE ROMAN NUMERALS;84808BR - PRESIDENT BR;DAY-DATE ;€ 112.600
ROLEX;SAAT;128348RBR-0069;;36;GREEN OMBRÉ ROMAN NUMERALS;84808BR - PRESIDENT BR;DAY-DATE ;€ 112.600
ROLEX;SAAT;128348RBR-0007;;36;DARK GREY 8 DIAMONDS 2 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 115.650
ROLEX;SAAT;128348RBR-0010;;36;CHAMPAGNE-COLOUR 8 DIAMONDS 2 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 115.650
ROLEX;SAAT;128348RBR-0036;;36;GREEN OMBRÉ 8 DIAMONDS 2 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 115.650
ROLEX;SAAT;128348RBR-0019;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 116.400
ROLEX;SAAT;128348RBR-0079;;36;BRIGHT GREEN 10 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 117.150
ROLEX;SAAT;128348RBR-0081;;36;CHAMPAGNE-COLOUR 10 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 117.150
ROLEX;SAAT;128348RBR-0071;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;84808BR - PRESIDENT BR;DAY-DATE ;€ 118.200
ROLEX;SAAT;128348RBR-0050;;36;CARNELIAN 32 DIAMONDS VI & IX 24 DIAMONDS;84808BR - PRESIDENT BR;DAY-DATE ;€ 121.600
ROLEX;SAAT;128348RBR-0038;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;84808BR - PRESIDENT BR;DAY-DATE ;€ 123.000
